"CdId","smiles","MolWeight","Formula","moleculename","E1","E2","E3","E4","h1","h2","h3","h4","l1","l2","l3","l4","reorg","IP_vert","IP_adia","ringcount","fusedringcount","rotatablebondcount","vdwsa","atomcountS","avgpol","axx","ayy","azz"
"43","c1ccc2cc3c(cc2c1)sc1cc2ccccc2cc31","284.38","C20H12S","B.CEJ_12_2006_2073_12","-1167.6112","-1167.3605","-1167.6091","-1167.3625","-0.1992474","-0.3413203","-0.1951436","-0.3425169","-0.0608372","-0.1954946","-0.0607162","-0.1956956","0.004342399","0.25081912","0.24864429","5","5","0","366","1","32","48","33","15"
"44","c1cc2c(ccc3cc4c5ccsc5ccc4cc23)s1","290.40","C18H10S2","B.JMCC_1_2013_1297_2b","-1488.3612","-1488.1174","-1488.3584","-1488.1202","-0.1920776","-0.3435165","-0.1865709","-0.3376423","-0.06165","-0.211191","-0.0653497","-0.2145036","0.0056901854","0.24381009","0.24099515","5","5","0","345","2","32","47","33","15"
"45","c1cc2cc3c(ccc4cc5sccc5cc34)cc2s1","290.40","C18H10S2","B.CEJ_12_2006_2073_11","-1488.3608","-1488.1127","-1488.3572","-1488.1163","-0.1967353","-0.341362","-0.1895405","-0.3342731","-0.0528752","-0.1975313","-0.0577602","-0.2022383","0.0073595718","0.24815379","0.24455385","5","5","0","345","2","32","33","47","15"
"46","c1cc2cc3cc4cc5ccsc5cc4cc3cc2s1","290.40","C18H10S2","tbbbtf1","-1488.3489","-1488.1217","-1488.347","-1488.1234","-0.1767594","-0.3230714","-0.1732949","-0.3205414","-0.073998","-0.2197706","-0.0761136","-0.2228062","0.0034629076","0.22711155","0.22537138","5","5","0","345","2","32","50","31","15"
"47","c1cc2cc3cc4cc5sccc5cc4cc3cc2s1","290.40","C18H10S2","B.JACS_120_1998_664_9a","-1488.3488","-1488.1217","-1488.347","-1488.1234","-0.176722","-0.3228502","-0.173217","-0.3201715","-0.0743887","-0.2198895","-0.0764863","-0.2228797","0.0034979805","0.22708642","0.22534293","5","5","0","345","2","32","31","50","15"
"48","c1cc2cc3ccc4cc5ccsc5cc4c3cc2s1","290.40","C18H10S2","B.CEJ_12_2006_2073_10","-1488.361","-1488.1094","-1488.3575","-1488.1127","-0.1996902","-0.3395201","-0.1929291","-0.34175","-0.0506676","-0.1905289","-0.0487342","-0.1964934","0.006684834","0.25151274","0.24824722","5","5","0","345","2","32","34","46","15"
"49","c1cc2ccc3cc4c5sccc5ccc4cc3c2s1","290.40","C18H10S2","B.JMCC_1_2013_1297_2a","-1488.3616","-1488.116","-1488.3591","-1488.1185","-0.1936085","-0.3481447","-0.1888236","-0.3437019","-0.063222","-0.2149784","-0.0663948","-0.2183666","0.0049235914","0.24562988","0.24314976","5","5","0","345","2","32","46","33","15"
"50","c1ccc2c(c1)sc1c3cc4ccccc4cc3sc21","290.40","C18H10S2","B.JACS_135_2013_13900_btnt","-1488.3658","-1488.1185","-1488.363","-1488.1212","-0.1953337","-0.3461447","-0.1898895","-0.3412145","-0.0597869","-0.2073746","-0.062927","-0.2109724","0.005640554","0.24736106","0.24459967","5","5","0","345","2","32","49","32","15"
"51","c1ccc2c(c1)sc1cc3c(cc21)sc1ccccc31","290.40","C18H10S2","B.OL_9_2007_4499","-1488.3799","-1488.1217","-1488.3776","-1488.1238","-0.2050509","-0.3508359","-0.2004764","-0.3532416","-0.0531659","-0.1921128","-0.0513176","-0.1908242","0.004315562","0.2581409","0.25613928","5","5","0","346","2","32","48","32","15"
"52","c1ccc2c(c1)sc1cc3sc4ccccc4c3cc21","290.40","C18H10S2","B.CTC_1078_2016_16_synt2","-1488.3798","-1488.1206","-1488.3782","-1488.1222","-0.206922","-0.3514413","-0.2038411","-0.3517512","-0.043066","-0.1877238","-0.0441921","-0.189617","0.003187823","0.25921535","0.25763437","5","5","0","345","2","32","46","34","15"
"53","c1sc2scc(-c3ccccc3)c2c1-c1ccccc1","292.41","C18H12S2","B.CR_115_2015_3036_450","-1489.5283","-1489.2617","-1489.5237","-1489.2668","-0.2114222","-0.3661747","-0.2028346","-0.3558856","-0.0236478","-0.1773754","-0.0301965","-0.179379","0.009786801","0.26664922","0.26152587","4","2","2","371","2","31","40","30","22"
"54","c1cc2cc3c(cc2s1)sc1cc2sccc2cc31","296.42","C16H8S3","B.JMC_16_2006_1121_10f","-1809.1266","-1808.8732","-1809.1238","-1808.8759","-0.2008333","-0.3489157","-0.1955517","-0.3434083","-0.0421075","-0.182667","-0.0414078","-0.1822744","0.00547235","0.25336877","0.25066134","5","5","0","325","3","32","47","32","15"
"55","c1cc2cc3sc4cc5ccsc5cc4c3cc2s1","296.42","C16H8S3","B.JMC_16_2006_1121_10e","-1809.1272","-1808.8707","-1809.125","-1808.8729","-0.203256","-0.3423712","-0.1989023","-0.3444542","-0.0547903","-0.1924118","-0.0530273","-0.1912742","0.00433463","0.2563739","0.25423482","5","5","0","325","3","31","33","47","15"
"56","c1c2c(cc3c2ccc2ccccc32)c2ccc3ccccc3c12","302.38","C24H14","B.ACIE_49_2010_7728_2a","-923.0119","-922.7801","-923.008","-922.78375","-0.1832304","-0.325929","-0.17568","-0.3196789","-0.0945437","-0.2340629","-0.1009327","-0.2406538","0.0076425746","0.231866","0.22816706","6","6","0","340","0","36","57","36","16"
"57","c1c2cc3ccccc3cc2c2cc3cc4ccccc4cc3c12","302.38","C24H14","B.ACIE_49_2010_7728_3a","-923.0235","-922.7839","-923.02136","-922.78595","-0.1926371","-0.3286105","-0.1885241","-0.3248469","-0.0802259","-0.2147328","-0.0837843","-0.2189466","0.0042390423","0.23962654","0.23755354","6","6","0","383","0","37","60","35","16"
